trade_date,template,rank,ts_code,name,industry_code,industry,score
20260729,pullback_strengthening,13,601211.SH,国泰海通,801790.SI,非银金融,0.9116109160450812
20260729,pullback_strengthening,14,688120.SH,华海清科,801080.SI,电子,0.9034589759451245
20260729,pullback_strengthening,15,603823.SH,百合花,801030.SI,基础化工,0.9002263723097059
20260729,pullback_strengthening,16,688669.SH,聚石化学,801030.SI,基础化工,0.8961209239941219
20260729,pullback_strengthening,17,300604.SZ,长川科技,801080.SI,电子,0.8909877474220597
20260729,pullback_strengthening,18,688578.SH,艾力斯,801150.SI,医药生物,0.890661700847205
20260729,pullback_strengthening,19,600030.SH,中信证券,801790.SI,非银金融,0.8904564615241211
20260729,pullback_strengthening,20,688506.SH,百利天恒,801150.SI,医药生物,0.8884261051414932
20260729,pullback_strengthening,21,300671.SZ,富满微,801080.SI,电子,0.8833384339453458
20260729,pullback_strengthening,22,603669.SH,灵康药业,801150.SI,医药生物,0.8824176735522168
20260729,pullback_strengthening,23,002422.SZ,科伦药业,801150.SI,医药生物,0.8819313109274572
20260729,pullback_strengthening,24,600177.SH,雅戈尔,801130.SI,纺织服饰,0.8775829821634157
20260729,pullback_strengthening,25,002485.SZ,ST雪发,801170.SI,交通运输,0.8767474107532606
20260729,pullback_strengthening,26,688266.SH,泽璟制药,801150.SI,医药生物,0.8752071630651784
20260729,pullback_strengthening,27,603713.SH,密尔克卫,801170.SI,交通运输,0.8736268082968374
20260729,pullback_strengthening,28,603456.SH,九洲药业,801150.SI,医药生物,0.8734229453281356
20260729,pullback_strengthening,29,688105.SH,诺唯赞,801150.SI,医药生物,0.872762930152093
20260729,pullback_strengthening,30,688037.SH,芯源微,801080.SI,电子,0.8702039002908566
