variant,window_bars,rank,ts_code,name,score,window_start,window_end,return_pct,quadratic_coefficient,quadratic_fit_r2,first_half_log_slope_bp_per_bar,second_half_log_slope_bp_per_bar,slope_delta_bp_per_bar,max_drawdown_pct
original_160,160,6,688141.SH,杰华特,0.9272471410326506,20251201,20260729,192.25823,0.2140825209,0.9092663496,42.778475,117.78223,75.003754,-35.80226
original_160,160,7,301217.SZ,铜冠铜箔,0.9266727189902315,20251201,20260729,173.631215,0.3397181452,0.8288155867,35.116827,155.089153,119.972326,-56.52
original_160,160,8,300843.SZ,胜蓝股份,0.9256536534064134,20251201,20260729,136.888723,0.2570183626,0.8910724627,24.826136,104.59845,79.772315,-38.652038
original_160,160,9,301273.SZ,瑞晨环保,0.9247478047576628,20251201,20260729,93.362364,0.0848740743,0.8479949493,27.206333,57.926907,30.720574,-23.254505
original_160,160,10,300209.SZ,行云科技,0.9246229810833785,20251201,20260729,415.370705,0.0275639128,0.9186736064,94.069408,115.022336,20.952928,-30.006258
original_160,160,11,300408.SZ,三环集团,0.9244112044507388,20251201,20260729,155.270047,0.1389538096,0.8400139951,42.322462,104.413937,62.091475,-46.603309
original_160,160,12,002281.SZ,光迅科技,0.9241571807874811,20251201,20260729,173.132161,0.1322982905,0.8622154955,36.470607,92.638257,56.16765,-38.691684
original_160,160,13,002484.SZ,江海股份,0.9213203981339564,20251201,20260729,127.443663,0.425090029,0.8105927349,10.567336,152.790934,142.223599,-44.69465
original_160,160,14,688498.SH,源杰科技,0.9207381785632833,20251201,20260729,232.595589,0.0776870468,0.9430718069,71.047096,98.628462,27.581366,-34.994698
original_160,160,15,301526.SZ,国际复材,0.9187343860333084,20251201,20260729,421.79568,0.1582132626,0.905195945,101.390818,158.899668,57.50885,-50.81273
original_160,160,16,688630.SH,芯碁微装,0.9180673559911269,20251201,20260729,199.691956,0.1023633764,0.9189573129,63.674679,106.49468,42.82,-38.073807
original_160,160,17,301319.SZ,唯特偶,0.9174304334577422,20251201,20260729,201.950752,0.606571978,0.7829173182,-18.105064,183.97912,202.084183,-58.275362
original_160,160,18,300308.SZ,中际旭创,0.916917442785211,20251201,20260729,76.974828,0.1808889999,0.7948333596,-3.614609,60.203788,63.818397,-34.313804
original_160,160,19,002938.SZ,鹏鼎控股,0.9166792363060126,20251201,20260729,71.838787,0.1483265714,0.7779231771,8.92911,71.106985,62.177875,-29.980819
original_160,160,20,003004.SZ,声迅股份,0.9151410364265368,20251128,20260729,170.092166,0.2551146651,0.8856035564,52.066096,136.930357,84.864261,-32.536395
original_160,160,21,002463.SZ,沪电股份,0.912487102421973,20251201,20260729,46.678523,0.097561304,0.8406348129,18.724195,54.027019,35.302824,-32.092393
original_160,160,22,301188.SZ,力诺药包,0.9117932360670455,20251201,20260729,99.563587,0.2762481352,0.7619351799,-2.8851,98.142087,101.027188,-53.384508
original_160,160,23,688702.SH,盛科通信,0.9113128230950317,20251201,20260729,168.259542,0.0717838953,0.9111737147,51.77498,72.402282,20.627303,-26.066351
original_160,160,24,300502.SZ,新易盛,0.9111515498801356,20251201,20260729,66.037689,0.1730474609,0.8195695794,3.194697,55.769923,52.575226,-33.348622
original_160,160,25,603773.SH,沃格光电,0.9095502679982197,20251201,20260729,137.117347,0.2601603463,0.7827820057,25.804739,132.341752,106.537013,-58.224719
original_160,160,26,300649.SZ,杭州园林,0.9078269326661257,20251201,20260729,21.987078,0.2298158321,0.7929309504,0.153136,76.674466,76.52133,-36.224659
original_160,160,27,688409.SH,富创精密,0.9073777533459942,20251201,20260729,170.009172,0.2272903639,0.8668195217,49.296928,128.427178,79.130249,-44.261224
original_160,160,28,002384.SZ,东山精密,0.9071891432428618,20251201,20260729,137.930122,0.0549991084,0.8770516455,45.240135,67.492125,22.25199,-34.815083
original_160,160,29,002552.SZ,宝鼎科技,0.9070172908113868,20251201,20260729,106.510264,0.4091815639,0.7647958408,12.487497,159.673759,147.186262,-54.081899
original_160,160,30,688072.SH,拓荆科技,0.9061507832713687,20251117,20260729,125.388945,0.3415034536,0.9036386974,22.063278,120.224083,98.160805,-25.053823
original_160,160,31,301511.SZ,德福科技,0.9060743230389611,20251201,20260729,111.93951,0.2713177103,0.7687430183,10.655384,111.873594,101.21821,-58.545069
original_160,160,32,300604.SZ,长川科技,0.9055120662442465,20251201,20260729,241.428277,0.1818151806,0.901090523,52.819089,120.660988,67.841899,-29.144385
original_160,160,33,000636.SZ,风华高科,0.9054067416913021,20251201,20260729,191.566821,0.3027415202,0.7959881529,51.354136,162.376884,111.022748,-49.816375
original_160,160,34,300814.SZ,中富电路,0.9053841034616529,20251201,20260729,43.865304,0.1389478459,0.7792768121,26.558315,77.239228,50.680913,-44.617463
original_160,160,35,301377.SZ,鼎泰高科,0.9045704768787554,20251201,20260729,258.459925,0.1316928711,0.8827956484,78.690857,135.849855,57.158998,-45.227411
original_160,160,36,688253.SH,英诺特,0.9043395960013223,20251201,20260729,69.394656,0.0389547136,0.8256952577,24.162831,46.806267,22.643436,-23.574928
original_160,160,37,301228.SZ,实朴检测,0.9032110215390502,20251201,20260729,32.610111,0.1063064144,0.7283405612,2.867948,43.352439,40.484491,-45.037987
original_160,160,38,603256.SH,宏和科技,0.9015370605386295,20251201,20260729,317.913753,-0.1353403438,0.9116892527,125.882875,116.64981,-9.233065,-53.175084
original_160,160,39,688328.SH,深科达,0.9013178292232726,20251201,20260729,150.819884,0.1009438297,0.9130595815,64.420208,105.184345,40.764137,-44.362683
original_160,160,40,300835.SZ,龙磁科技,0.9010312372197412,20251201,20260729,115.941464,0.1049901832,0.8087352741,47.557162,99.796937,52.239774,-49.990124
original_160,160,41,920438.BJ,戈碧迦,0.9009956919365849,20251201,20260729,187.350547,0.5995480156,0.8483484774,5.276444,182.204831,176.928387,-40.515372
original_160,160,42,688610.SH,埃科光电,0.8992969502060386,20251201,20260729,121.910576,0.0606815156,0.8470452602,50.064501,91.858786,41.794285,-48.936978
original_160,160,43,002859.SZ,洁美科技,0.8986919227705069,20251117,20260729,90.80471,0.0582797634,0.8426125505,61.118018,89.772536,28.654518,-49.969339
original_160,160,44,688218.SH,江苏北人,0.8967666656553269,20251201,20260729,43.882042,0.1808017387,0.7621959384,5.223196,73.470603,68.247407,-40.563636
original_160,160,45,001339.SZ,智微智能,0.8958754127410847,20251201,20260729,65.937705,0.0544558511,0.8568708303,43.45781,70.75123,27.29342,-34.824468
original_160,160,46,300054.SZ,鼎龙股份,0.8958641018948156,20251201,20260729,94.969836,0.0650451429,0.8659338502,35.402312,67.073199,31.670886,-37.831462
original_160,160,47,002636.SZ,金安国纪,0.8956922501800757,20251201,20260729,230.677711,0.0719595132,0.9087457081,108.265175,140.059372,31.794197,-54.521964
original_160,160,48,603580.SH,艾艾精工,0.8954009161278617,20251121,20260729,268.531469,0.4272635169,0.8844648751,0.515839,108.168489,107.65265,-18.989314
original_160,160,49,600183.SH,生益科技,0.8953632322540632,20251201,20260729,85.039635,0.4135203758,0.7576308432,-8.356671,130.920053,139.276723,-42.211538
original_160,160,50,002787.SZ,华源控股,0.8952608835642286,20251201,20260729,63.412564,0.1505053282,0.7503186644,4.391149,68.963572,64.572423,-43.047337
original_160,160,51,601101.SH,昊华能源,0.8952006118483883,20251201,20260729,56.198675,0.0256349245,0.8293071759,26.913373,41.106105,14.192732,-23.686336
original_160,160,52,301307.SZ,美利信,0.8947373506025578,20251201,20260729,25.530303,0.2237351741,0.8184400625,7.058006,71.918826,64.86082,-47.139515
original_160,160,53,000429.SZ,粤高速A,0.892537057918911,20251201,20260729,17.977528,0.0547442797,0.8315812897,6.577797,18.002882,11.425085,-11.119874
original_160,160,54,688519.SH,南亚新材,0.8919162119434649,20251201,20260729,227.569892,-0.0012355274,0.9203259399,110.699719,120.494603,9.794884,-47.995611
original_160,160,55,603115.SH,海星股份,0.8915531783949394,20251201,20260729,286.236157,-0.1256919011,0.8945770462,105.685847,92.692335,-12.993512,-50.253498
original_160,160,56,688347.SH,华虹宏力,0.8912500026494421,20251201,20260729,148.208708,0.499366342,0.8740212052,15.299387,163.938905,148.639518,-35.030675
original_160,160,57,603186.SH,华正新材,0.8910397920466706,20251201,20260729,151.189185,0.1661466598,0.8238076465,70.203069,143.606011,73.402942,-57.222222
original_160,160,58,688120.SH,华海清科,0.890924267121915,20251201,20260729,174.765314,0.3155174898,0.8665458131,25.762603,121.520255,95.757652,-33.729651
original_160,160,59,688549.SH,中巨芯,0.8908105649122344,20251201,20260729,131.183932,0.6013581041,0.8127292916,2.468494,183.122627,180.654132,-47.586207
original_160,160,60,688069.SH,德林海,0.8905369842434682,20251201,20260729,120.388307,-0.0218524553,0.8275553504,35.935187,46.433814,10.498627,-34.589253
original_160,160,61,300903.SZ,科翔股份,0.8903949710406589,20251201,20260729,165.581854,-0.0605867284,0.8861660763,102.875811,107.87146,4.995649,-52.213646
original_160,160,62,688200.SH,华峰测控,0.8902945095122217,20251201,20260729,201.590937,0.1458694634,0.895732856,71.917629,125.697909,53.78028,-34.979742
original_160,160,63,300283.SZ,温州宏丰,0.8898973690187902,20251201,20260729,65.114541,0.1775395207,0.7306823901,6.566522,82.662558,76.096036,-49.823737
original_160,160,64,301200.SZ,大族数控,0.8883321787861015,20251201,20260729,107.422654,0.035731118,0.8666355243,53.692064,81.433116,27.741052,-41.812458
original_160,160,65,603311.SH,金海高科,0.8880061770851218,20251124,20260729,113.897118,0.0479341008,0.7816980321,44.557225,83.463294,38.906069,-45.112414
